trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
2020-06-12 23:24,6.01137E+15,fraud_Stamm-Witting,shopping_net,9.75,Tammy,Ayers,F,1652 James Mews,Hinckley,OH,44233,41.2419,-81.7453,7646,Medical sales representative,1988-09-15,ffffef9d89e7d02d86efb1d2ba4de008,1371079471,40.583166,-81.39867
2020-09-18 23:26,3.53374E+15,fraud_Pfeffer and Sons,shopping_pos,4.96,Robert,Haynes,M,857 Aaron Circles Suite 398,Johns Island,SC,29455,32.8357,-79.8217,20478,Materials engineer,1997-06-04,ffffbc82aa8e0ef7e6acb579c52ad599,1379546818,32.703819,-80.679529
2020-05-19 15:13,3.00443E+13,fraud_Pollich LLC,home,64.09,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,ffff7fd0a57a46691fb4f7ba7a393555,1368976397,27.406631,-82.673926
2020-10-20 3:02,1.80048E+14,fraud_Ruecker Group,misc_net,55.94,Mary,Wall,F,2481 Mills Lock,Plainfield,NJ,7060,40.6152,-74.415,71485,Leisure centre manager,1974-07-19,ffff6523e55bb8f5aa3935f24ae06baf,1382238131,41.538468,-74.216187
2019-12-21 23:55,3.50097E+15,"fraud_Greenfelder, Bartoletti and Davis",misc_net,64.11,Kenneth,Sanchez,M,0110 Ashley Forest,Tekoa,WA,99033,47.2271,-117.0819,895,Clothing/textile technologist,1999-05-31,ffff58c98944825f9911e65c5b8c888b,1356134147,47.767391,-117.353327
2020-08-31 15:22,3.56609E+15,fraud_Brown Inc,kids_pets,135.21,Kristina,Stewart,F,47029 Jimmy Tunnel Apt. 106,Newhall,CA,91321,34.3795,-118.523,34882,Health physicist,1971-04-25,fffe6fe15ccb5346ba2a399b0d61b613,1377962540,34.442912,-117.804513
2019-07-12 23:39,5.71365E+11,fraud_Gottlieb-Hansen,personal_care,21.23,Barbara,Taylor,F,0069 Robin Brooks Apt. 695,Elberta,MI,49628,44.5995,-86.2141,372,"Exhibitions officer, museum/gallery",1995-07-12,fffe6132f99341e14fc0d8e11c6c5df2,1342136353,45.399039,-85.350675
2020-06-02 6:28,5.03874E+11,fraud_Lockman Ltd,grocery_pos,35.06,Andrew,Mcgee,M,4130 Tiffany Glen Apt. 562,San Antonio,TX,78248,29.5894,-98.5201,1595797,Exhibition designer,1975-12-28,fffe568fa77933ebcd5554c116ebbe20,1370154499,30.135719,-98.28996
2020-06-29 20:21,4.71656E+15,fraud_Jast Ltd,shopping_net,2681.62,Lauren,Anderson,F,11014 Chad Lake Apt. 573,Heart Butte,MT,59448,48.2777,-112.8456,743,Water engineer,1972-05-04,fffe28401431792946a3d9208b7b386d,1372537307,47.964643,-113.48368
2019-12-18 9:09,3.57579E+15,"fraud_Ferry, Lynch and Kautzer",misc_net,10.32,Lindsay,Wilson,F,7618 Gonzales Mission,Centerview,MO,64019,38.7897,-93.8702,2368,Electronics engineer,1989-07-17,fffe032c1ae1a1035ee659d193680bc8,1355821759,38.788846,-93.853563
